rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Multiple competing CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage hero presents several competing CTAs without a single clear primary action, diluting user focus and increasing cognitive load.","The homepage hero presents several competing CTAs without a single clear primary action, diluting user focus and increasing cognitive load.",h1: Wildly Comfortable. Super Natural.; cta: Single primary CTA: 'Shop Best Sellers' or 'Shop Women's' (based on top traffic segment); notes: Reduce to one primary CTA and move secondary CTAs to secondary positions or navigation.,"CTAs on homepage: 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale', 'SHOP MEN', 'SHOP WOMEN', 'Sign Up', 'Shop + -'.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_1_multiple_competing_ctas.html
2,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero H1 'Wildly Comfortable. Super Natural.' is abstract and doesn't communicate the product category or key benefit, failing to answer the visitor's intent to find comfortable, sustainable shoes.","The hero H1 'Wildly Comfortable. Super Natural.' is abstract and doesn't communicate the product category or key benefit, failing to answer the visitor's intent to find comfortable, sustainable shoes.","h1: Shoes That Feel Like Nothing. Made from Nature.; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Add a subheadline: 'Our sustainable sneakers are made from merino wool and eucalyptus trees, so you can walk light on the planet.'",H1: 'Wildly Comfortable. Super Natural.' with CTAs 'Shop Men' and 'Shop Women' but no subheadline or product mention.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_vague_hero_copy.html
3,Shipping delay warning,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,The prominent 'orders may take up to 30 days to ship' warning at the top of the homepage creates immediate hesitation and may drive visitors away before they engage with the brand.,The prominent 'orders may take up to 30 days to ship' warning at the top of the homepage creates immediate hesitation and may drive visitors away before they engage with the brand.,"h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Replace the warning with a positive reassurance like 'Free shipping on orders over $100' and move the delay notice to a less prominent location (e.g., footer or checkout).","Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_shipping_delay_warning.html
4,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage promotes free shipping but only reveals the $100 threshold in the fine print, creating an expectation gap that may lead to cart abandonment.","The homepage promotes free shipping but only reveals the $100 threshold in the fine print, creating an expectation gap that may lead to cart abandonment.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: Shop All; notes: Include threshold in hero to set expectations early.,"Body sample: 'Free ground shipping on orders over $100' appears in the top bar, but the hero copy 'Wildly Comfortable. Super Natural.' does not mention the threshold.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple subcategories, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ nav items with multiple subcategories, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Simplify mega-menu to top 5-7 key categories, use clear hierarchy, and reduce cognitive load.","nav_items list contains 20 items including 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Misleading H1 count,HIGH,Homepage,Medium,2-5 days,5,10,no,traffic,"The homepage has 7 H1 tags, including 'www.allbirds.com is blocked' repeated 4 times, which is a technical SEO issue and may confuse users and search engines.","The homepage has 7 H1 tags, including 'www.allbirds.com is blocked' repeated 4 times, which is a technical SEO issue and may confuse users and search engines.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Ensure only one H1 per page, remove blocked messages, and fix any bot detection that causes this.","h1s array on '/' includes 'www.allbirds.com is blocked' repeated 4 times, and tech.h1_count is 7.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_misleading_h1_count.html
7,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making every tap target too small and severely harming mobile conversion.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_no_responsive_viewport_declared.html
8,Unclear pricing and hidden costs,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"The product page for Anytime Ankle Sock shows a price of $16 but does not clearly indicate shipping costs or any additional fees, and the page title is 'shop.app' which may confuse users about the domain.","The product page for Anytime Ankle Sock shows a price of $16 but does not clearly indicate shipping costs or any additional fees, and the page title is 'shop.app' which may confuse users about the domain.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Ensure page title is 'Allbirds' and clearly display shipping costs or 'Free shipping on orders over $100' near the price.,Prices on product page: '$16' appears multiple times; page title is 'shop.app' instead of 'Allbirds'; body sample shows 'Free ground shipping on orders over $100' but no explicit mention of shipping costs for this product.,Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_unclear_pricing_and_hidden_costs.html
9,Missing product reviews,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page lacks visible review count or rating, which is a critical trust signal for a $16 sock purchase, especially when the brand is not yet familiar to the visitor.","The product page lacks visible review count or rating, which is a critical trust signal for a $16 sock purchase, especially when the brand is not yet familiar to the visitor.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary (e.g., '4.8/5 from 2,300+ reviews') directly under the product title or price to build trust at the point of purchase decision.",H2s include 'Reviews for Anytime Ankle Sock' but the body sample does not show any review count or star rating near the product title or price.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_missing_product_reviews.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"21 of 69 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","21 of 69 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 21 of 69 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
